capacity,highlights,location,phone,url,venue_name
[230],"Upgraded rentals included,Rentals included,Valet parking","1324 Locust Street,Philadelphia, PA 19107",[2156218561],https://www.wedding-spot.com/venue/15714/the-arts-ballroom/,The Arts Ballroom
[150],"Indoor and outdoor spaces,Indoor and outdoor spaces","33 Risler Street,Stockton, NJ 08559",[6093973586],https://www.wedding-spot.com/venue/16831/prallsville-mills/,Prallsville Mills
[215],"Award winner,BYO,Valet parking","201 Washington Street,Reading, PA 19601",[6103744600],https://www.wedding-spot.com/venue/3314/goggleworks-center-of-the-arts/,GoggleWorks Center of the Arts
[100],"Indoor and outdoor spaces,Rentals included,Valet parking","125 East 50th Street,New York, NY 10022",[2127152500],https://www.wedding-spot.com/venue/14198/the-benjamin-royal-sonesta-new-york/,The Benjamin Royal Sonesta New York
[220],"Rentals included,Valet parking,Rentals included","2 East 55th Street,New York, NY 10022",[2123396743],https://www.wedding-spot.com/venue/2498/the-st-regis-new-york/,The St. Regis New York
[1200],"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Upgraded rentals included","Lincoln Harbor Marina,1500 Harbor Boulevard",[9737151091],https://www.wedding-spot.com/venue/2292/smooth-sailing-celebrations/,Smooth Sailing Celebrations
[350],"2x award winner,Indoor and outdoor spaces,Rentals included","757 Eagle Rock Avenue,West Orange, NJ 07052",[9737315600],https://www.wedding-spot.com/venue/714/pleasantdale-chateau/,Pleasantdale Chateau
[1200],"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included","West 41st Street,West Side HWY, Pier 81",[9179680794],https://www.wedding-spot.com/venue/703/francescas-touch-of-class-premium-luxury-yachts/,Francesca's Touch of Class - Premium Luxury Yachts
[160],"Award winner,Indoor and outdoor spaces,Upgraded rentals included","851 6th Avenue,New York, NY 10001",[6467946838],https://www.wedding-spot.com/venue/2285/kimpton-eventi/,Kimpton Eventi
[300],"Promotion available,Accommodation offered,Indoor and outdoor spaces","49 East Sunnyside Lane,Tarrytown, NY 10591",[9145913114],https://www.wedding-spot.com/venue/3673/tarrytown-house-estate/,Tarrytown House Estate
[200],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","770 South Main Street,Canandaigua, NY 14424",[5853947805],https://www.wedding-spot.com/venue/18149/the-lake-house-on-canandaigua/,The Lake House on Canandaigua
[350],"Indoor and outdoor spaces,Rentals included,Indoor and outdoor spaces","135 West Gate Drive,Huntington, NY 11743",[6316591402],https://www.wedding-spot.com/venue/15185/oheka-castle/,OHEKA CASTLE
[260],"Indoor and outdoor spaces,Upgraded rentals included,Rentals included","101 Country Club Drive,Lansdale, PA 19446",[2158554113],https://www.wedding-spot.com/venue/817/pinecrest-country-club/,PineCrest Country Club
[340],"Rehearsal dinner and bridal shower,Promotion available,Accommodation offered","431 East Main Street,Riverhead, NY 11901",[9344518012],https://www.wedding-spot.com/venue/8730/atlantis-banquets-events-long-island-aquarium/,Atlantis Banquets & Events / Long Island Aquarium
[80],"Award winner,Rentals included,Valet parking","485 5th Avenue,at 41st Street",[2126995708],https://www.wedding-spot.com/venue/1376/andaz-5th-avenue/,Andaz 5th Avenue
[250],"Accommodation offered,Rentals included,Valet parking","1450 East Bay Avenue,Manahawkin, NJ 08050",[9086819000],https://www.wedding-spot.com/venue/1696/mallard-island-yacht-club/,Mallard Island Yacht Club
[275],"2x award winner,Rentals included,Valet parking","637 Province Line Road,Allentown, NJ 08501",[9086819000],https://www.wedding-spot.com/venue/1695/ashford-estate/,Ashford Estate
[250],"Award winner,Rentals included,Valet parking","2400 East Bay Avenue,Manahawkin, NJ 08050",[9086819000],https://www.wedding-spot.com/venue/1601/bonnet-island-estate/,Bonnet Island Estate
[65],"Rentals included,Valet parking,Rentals included","Golden Nugget Hotel & Casino,Brigantine Boulevard",[6093405031],https://www.wedding-spot.com/venue/1466/chart-house-atlantic-city/,Chart House Atlantic City
[400],"Award winner,Accommodation offered,Indoor and outdoor spaces","401 South New York Road,Galloway, NJ 08205",[6097487648],https://www.wedding-spot.com/venue/1219/seaview-a-dolce-hotel/,"Seaview, A Dolce Hotel"
[220],"Award winner,Indoor and outdoor spaces,Rentals included","1507 Ocean Avenue,Spring Lake",[7324497700],https://www.wedding-spot.com/venue/1215/the-breakers-on-the-ocean/,The Breakers on the Ocean
[170],"Indoor and outdoor spaces,Rentals included,Valet parking","1 North New York Road (Route 9),Galloway, NJ 08205",[6096527777],https://www.wedding-spot.com/venue/1197/the-smithville-inn/,The Smithville Inn
[300],"Award winner,Indoor and outdoor spaces,Rentals included"," 901 Mays Landing Road,Somers Point, NJ 08244",[6099275071],https://www.wedding-spot.com/venue/1120/greate-bay/,Greate Bay
[225],"Indoor and outdoor spaces,Rentals included,Valet parking","704 7th Street,Avalon, NJ 08202",[6099674444],https://www.wedding-spot.com/venue/1014/avalon-yacht-club/,Avalon Yacht Club
[150],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","1035 Beach Avenue,Cape May, NJ 08204",[6098847000],https://www.wedding-spot.com/venue/768/ocean-club-hotel/,Ocean Club Hotel
[220],"Indoor and outdoor spaces,Upgraded rentals included,Rentals included","200 Golfview Drive,Blackwood, NJ 08012",[8562273171],https://www.wedding-spot.com/venue/760/ron-jaworskis-valleybrook-country-club/,Ron Jaworski's Valleybrook Country Club
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","700 Highway 71,Spring Lake, NJ 07762",[7324493666],https://www.wedding-spot.com/venue/750/the-shore-club/,The Shore Club
[400],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces"," 1 Covenhoven Road,Manalapan, NJ 07726",[7324627575],https://www.wedding-spot.com/venue/749/battleground-country-club/,Battleground Country Club
[275],"Indoor and outdoor spaces,BYO,Rentals included","500 Shore Road,Linwood, NJ 08221",[6099276134],https://www.wedding-spot.com/venue/746/linwood-country-club/,Linwood Country Club
[400],"Indoor and outdoor spaces,Rentals included,Valet parking","1 Hessian Avenue,West Deptford, NJ 08096",[8568453437],https://www.wedding-spot.com/venue/739/nicolosi-caterers/,Nicolosi Caterers
[400],"Award winner,Indoor and outdoor spaces,Valet parking","200 Country Club Parkway,Mount Laurel, NJ 08054",[8562352118],https://www.wedding-spot.com/venue/727/ron-jaworskis-ramblewood-country-club/,Ron Jaworski's Ramblewood Country Club
[200],"Indoor and outdoor spaces,BYO,Upgraded rentals included","212 Centre Street ,Beach Haven, NJ 08008",[9178363900],https://www.wedding-spot.com/venue/700/the-gables-historic-inn-restaurant/,The Gables Historic Inn & Restaurant
[180],"Indoor and outdoor spaces,Rentals included,Valet parking","6 County Road, Route 537 West,Colts Neck, NJ 07722",[7324620383],https://www.wedding-spot.com/venue/696/colts-neck-inn-steak-chop-house/,Colts Neck Inn Steak & Chop House
[1400],"Indoor and outdoor spaces,Rentals included,Valet parking","4501 Boardwalk,Wildwood, NJ 08260",[6098462664],https://www.wedding-spot.com/venue/683/wildwoods-convention-center/,Wildwoods Convention Center
[300],"Accommodation offered,Indoor and outdoor spaces,Valet parking","88 Riverside Avenue,Red Bank, NJ 07701",[7325308200],https://www.wedding-spot.com/venue/664/molly-pitcher-inn/,Molly Pitcher Inn
[220],"Rentals included,Valet parking,Rentals included","146 Bodman Place,Red Bank, NJ 07701",[7325308200],https://www.wedding-spot.com/venue/663/oyster-point-hotel/,Oyster Point Hotel
[300],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","1045 Beach Avenue ,Cape May, NJ 08204",[6098845611],https://www.wedding-spot.com/venue/661/the-grand-hotel/,The Grand Hotel
[200],"Award winner,Indoor and outdoor spaces,Rentals included","125 Bayview Avenue,Bayville, NJ 08721",[7322693000],https://www.wedding-spot.com/venue/599/waters-edge-on-the-bay/,Waters Edge on the Bay
[1],"Award winner,Indoor and outdoor spaces,Rentals included","50 Gibson Place,Freehold, NJ 07728",[7327803405],https://www.wedding-spot.com/venue/598/crystal-ballroom-at-the-radisson-freehold/,Crystal Ballroom at the Radisson Freehold
[1],"3x award winner,Indoor and outdoor spaces,Upgraded rentals included","700 Hope Road,Tinton Falls, NJ 07724",[7327803405],https://www.wedding-spot.com/venue/597/sterling-ballroom-at-the-doubletree-by-hilton-tinton-falls/,Sterling Ballroom at the DoubleTree by Hilton Tinton Falls
[1],,"290 Route 37 East,Toms River, NJ 08753",[7327803405],https://www.wedding-spot.com/venue/596/atlantis-ballroom-at-the-days-hotel-toms-river-jersey-shore/,Atlantis Ballroom at the Days Hotel Toms River - Jersey Shore
[1],"Upgraded rentals included,Rentals included,Upgraded rentals included","2373 Route 9,Toms River, NJ 08755",[7327191206],https://www.wedding-spot.com/venue/595/versailles-ballroom-at-the-ramada-toms-river/,Versailles Ballroom at the Ramada Toms River
[1],"Award winner,Indoor and outdoor spaces,Upgraded rentals included","399 Monmouth Street,East Windsor, NJ 08520",[7327803405],https://www.wedding-spot.com/venue/594/windsor-ballroom-at-the-holiday-inn-east-windsor/,Windsor Ballroom at the Holiday Inn East Windsor
[220],"Award winner,Indoor and outdoor spaces,BYO","100 Bay Road,Ocean City, NJ 08226",[6094577112],https://www.wedding-spot.com/venue/589/ocean-city-yacht-club/,Ocean City Yacht Club
[150],"Indoor and outdoor spaces,BYO,Rentals included","720 Washington Street,Cape May, NJ 08204",[6098847171],https://www.wedding-spot.com/venue/588/southern-mansion/,Southern Mansion
[900],"Valet parking,Valet parking","1010 Liberty Street,Camden, NJ 08104",[8569631285],https://www.wedding-spot.com/venue/14517/st-joseph-polish-catholic-apostolate-of-the-diocese-of-camden/,St. Joseph Polish Catholic Apostolate of the Diocese of Camden
[200],"BYO,Valet parking,BYO","40 Main Street,Holmdel, NJ 07733",[7329468821],https://www.wedding-spot.com/venue/14466/holmdel-community-united-church-of-christ/,Holmdel Community United Church of Christ
[400],"Indoor and outdoor spaces,BYO,Valet parking","78 Bowne Station Road,Stockton, NJ 08559",[6093972212],https://www.wedding-spot.com/venue/13590/woodsedge-farm-weddings-events/,WoodsEdge Farm Weddings & Events
[200],"Rentals included,Rentals included","42 West 44th Street,New York, NY 10036",[2123826684],https://www.wedding-spot.com/venue/16539/42west44/,42West44
[275],"Upgraded rentals included,Rentals included,Valet parking","1567 Broadway,New York, NY 10036",[2123310313],https://www.wedding-spot.com/venue/8677/blue-fin-times-square/,Blue Fin Times Square
[135],"Rentals included,Valet parking,Rentals included","30 Cutter Mill Road,Great Neck, NY 11021",[5167732000],https://www.wedding-spot.com/venue/3228/inn-at-great-neck-world-hotels-crafted/,"Inn at Great Neck, World Hotels Crafted"
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","86 West Meadow Road,East Setauket, NY 11733",[6317510571],https://www.wedding-spot.com/venue/1271/old-field-club/,Old Field Club
[1800],"Valet parking,Valet parking","7 West 55th Street,New York, NY 10019",[2122470490],https://www.wedding-spot.com/venue/14654/fifth-avenue-presbyterian-church/,Fifth Avenue Presbyterian Church
[120],"Rentals included,Valet parking,Rentals included","22 East 29th Street,New York, NY 10016",[6464242621],https://www.wedding-spot.com/venue/13702/hotel-seville-nomad/,Hotel Seville NoMad
[125],"Indoor and outdoor spaces,BYO,Valet parking","1090 Ragged Edge Road,Chambersburg, PA 17202",[7174968372],https://www.wedding-spot.com/venue/9840/the-inn-at-ragged-edge/,The Inn At Ragged Edge
[200],"BYO,Valet parking,BYO","1635 River Road,New Hope, PA 18938",[2158601859],https://www.wedding-spot.com/venue/12847/bowmans-hill-wildflower-preserve/,Bowman's Hill Wildflower Preserve
[200],"Indoor and outdoor spaces,Upgraded rentals included,Rentals included","800 US Highway 130,Hamilton Township, NJ 08691",[6095704160],https://www.wedding-spot.com/venue/6570/hilton-garden-inn-hamilton/,Hilton Garden Inn Hamilton
[200],"Indoor and outdoor spaces,BYO,Valet parking","354 Quaker Road,Princeton, NJ 08540",[6099216748],https://www.wedding-spot.com/venue/5201/updike-farmstead/,Updike Farmstead
[500],"Indoor and outdoor spaces,BYO,Valet parking","1000 Riverwinds Drive,West Deptford, NJ 08086",[8562511410],https://www.wedding-spot.com/venue/4914/riverwinds-community-center/,RiverWinds Community Center
[200],"Indoor and outdoor spaces,BYO,Valet parking","41 Middle Town Road,Holmdel, NJ 07733",[7329462820],https://www.wedding-spot.com/venue/4909/bayonet-farm/,Bayonet Farm
[100],"Award winner,Indoor and outdoor spaces,BYO","155 Hughes Drive,Hamilton Township, NJ 08690",[6098903874],https://www.wedding-spot.com/venue/4887/sayen-house-and-gardens/,Sayen House and Gardens
[80],,"3 Cranbury Neck Road,Cranbury, NJ 08512",[6098024221],https://www.wedding-spot.com/venue/4784/parsonage-barn/,Parsonage Barn
[240],"Rentals included,Valet parking,Rentals included","21 South Main Street,Cranbury, NJ 08512",[6096555595],https://www.wedding-spot.com/venue/4763/the-cranbury-inn/,The Cranbury Inn
[320],"Indoor and outdoor spaces,Rentals included,Valet parking","558 Fellowship Road,Mt Laurel, NJ 08054",[8562341880],https://www.wedding-spot.com/venue/4656/aloft-mount-laurel/,Aloft Mount Laurel
[220],"Indoor and outdoor spaces,Rentals included,Valet parking","515 Fellowship Road,North Mount Laurel, NJ 08054",[8567788999],https://www.wedding-spot.com/venue/4592/doubletree-suites-by-hilton-mt-laurel/,DoubleTree Suites by Hilton Mt. Laurel
[200],"Rentals included,Valet parking,Rentals included","20 West Atlantic Avenue,Audubon, NJ 08106",[8565460808],https://www.wedding-spot.com/venue/4591/the-kove/,The Kove
[150],"Indoor and outdoor spaces,Upgraded rentals included,Rentals included","4 Bingham Avenue,Rumson, NJ 07760",[7329339272],https://www.wedding-spot.com/venue/4574/salt-creek-grille-rumson/,Salt Creek Grille Rumson
[250],"BYO,Valet parking,BYO","301 Kings Highway East,Haddonfield, NJ 08033",[8564289040],https://www.wedding-spot.com/venue/4498/the-haddon-fortnightly/,The Haddon Fortnightly
[135],"Indoor and outdoor spaces,Rentals included,Valet parking","2500 East Bay Avenue,Manahawkin, NJ 08050",[6094946910],https://www.wedding-spot.com/venue/4495/the-dutchmans-brauhaus/,The Dutchman's Brauhaus
[275],"Indoor and outdoor spaces,BYO,Rentals included","507 Kings Highway South,Cherry Hill, NJ 08034",[7327121287],https://www.wedding-spot.com/venue/4390/the-marian-house-by-willow-sage-catering-and-events/,The Marian House by Willow & Sage Catering and Events
[175],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","301 Howard Street,Cape May, NJ 08204",[6098848409],https://www.wedding-spot.com/venue/4389/chalfonte-hotel/,Chalfonte Hotel
[90],"BYO,Valet parking,BYO","1510 Boardwalk,Ocean City, NJ 08226",[8003344546],https://www.wedding-spot.com/venue/4362/port-o-call-hotel/,Port-O-Call Hotel
[1],"Indoor and outdoor spaces,Upgraded rentals included,Rentals included","6 Industrial Way East,Eatontown, NJ 07724",[7325426500],https://www.wedding-spot.com/venue/3166/sheraton-eatontown-hotel/,Sheraton Eatontown Hotel
[200],"BYO,Rentals included,Valet parking","807 Rt 70 West,Cherry Hill, NJ 08002",[8567687666],https://www.wedding-spot.com/venue/3100/e-lounge/,E Lounge
[150],"Upgraded rentals included,Valet parking,Upgraded rentals included","The Quarter at Tropicana,2801 Pacific Avenue",[2122213800],https://www.wedding-spot.com/venue/2694/carmines-atlantic-city/,Carmine's Atlantic City
[200],"Rentals included,Valet parking,Rentals included","815 Route 37 West,Toms River, NJ 08755",[7323416215],https://www.wedding-spot.com/venue/2146/clarion-hotel-conference-center/,Clarion Hotel & Conference Center
[200],"Indoor and outdoor spaces,Rentals included,Valet parking","11 Bridge Street,Lambertville, NJ 08530",[6093979077],https://www.wedding-spot.com/venue/2098/lambertville-station-restaurant-inn/,Lambertville Station Restaurant & Inn
[500],"Indoor and outdoor spaces,Rentals included,Valet parking","1022 Almond Road,Pittsgrove Township, NJ 08318",[8563583325],https://www.wedding-spot.com/venue/2019/centerton-country-club-event-center/,Centerton Country Club & Event Center
[200],"Indoor and outdoor spaces,Rentals included,Valet parking","500 Saint Andrews Drive,Egg Harbor Township, NJ 08234",[6099270006],https://www.wedding-spot.com/venue/2009/harbor-pines-golf-club/,Harbor Pines Golf Club
[175],"Indoor and outdoor spaces,Rentals included,Valet parking","550 Country Club Drive,Egg Harbor City, NJ 08215",[6099651800],https://www.wedding-spot.com/venue/1889/ron-jaworskis-blue-heron-pines-golf-club/,Ron Jaworski's Blue Heron Pines Golf Club
[40],"Rentals included,Valet parking,Rentals included","57 West 57th Street,New York, NY 10019",[2128382061],https://www.wedding-spot.com/venue/1741/quality-italian/,Quality Italian
[250],"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included","Pier 40 at Hudson River Park,New York, NY 10011",[2125346380],https://www.wedding-spot.com/venue/1625/yachts-for-all-seasons-hybrid/,Yachts For All Seasons: Hybrid
[180],"Indoor and outdoor spaces,BYO,Valet parking","42-38 Ninth Street,Long Island, NY 11101",[7187867776],https://www.wedding-spot.com/venue/420/the-foundry/,The Foundry
[149],"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included","2430 FDR Drive Service Road East ,New York, NY 10010",[2125346380],https://www.wedding-spot.com/venue/1617/yachts-for-all-seasons-cloud-9-iv/,Yachts For All Seasons: Cloud 9 IV
[90],"Rentals included,Rentals included","Pier 60 Chelsea Piers,West 23rd Street & Hudson River Park",[9174710585],https://www.wedding-spot.com/venue/11667/the-mariner-iii/,The Mariner III
[120],"Upgraded rentals included,Rentals included,Valet parking","231 East 50th Steet,New York, NY 10022",[2127505353],https://www.wedding-spot.com/venue/8625/ristorante-degrezia/,Ristorante DeGrezia
[70],"Valet parking,Valet parking","15 Main Street,Brooklyn, NY 11201",[7188581095],https://www.wedding-spot.com/venue/13544/atrium-dumbo/,Atrium DUMBO
[70],"BYO,Rentals included,Valet parking","47 Bond Street,New York, NY 10012",[9174844016],https://www.wedding-spot.com/venue/5061/il-buco/,Il Buco
[300],"Rentals included,Valet parking,Rentals included","50 Avenue B,New York, NY 10009",[9176123855],https://www.wedding-spot.com/venue/13686/lovecraft/,Lovecraft
[425],"Valet parking,Valet parking","232 Main Street,Port Washington, NY 11050",[5167671384],https://www.wedding-spot.com/venue/13786/landmark-on-main-street/,Landmark On Main Street
[150],"Rentals included,Valet parking,Rentals included","150 West 17th Street,New York, NY 10011",[2126205000],https://www.wedding-spot.com/venue/1714/rubin-museum-of-art/,Rubin Museum of Art
[125],"Rehearsal dinner and bridal shower,BYO,Valet parking","75 Murray Street,New York, NY 10007",[6467296139],https://www.wedding-spot.com/venue/13512/the-bogardus-mansion/,The Bogardus Mansion
[60],"Upgraded rentals included,Rentals included,Valet parking"," 357 3rd Street,Brooklyn, NY 11215",[7183690082],https://www.wedding-spot.com/venue/13533/events-at-stone-park/,Events at Stone Park
[250],"Indoor and outdoor spaces,BYO,Valet parking","459 Old York Road,Bethlehem, PA 18018",[6108820450],https://www.wedding-spot.com/venue/6204/colonial-industrial-quarter/,Colonial Industrial Quarter
[100],"Indoor and outdoor spaces,BYO,Upgraded rentals included","27 Grand Street,New York, NY 10013",[2124652000],https://www.wedding-spot.com/venue/13700/the-james-new-york-soho/,The James New York - SoHo
[170],"Rentals included,Rentals included","One Beacon Court,151 East 58th Street",[2124055095],https://www.wedding-spot.com/venue/231/le-cirque/,Le Cirque
[400],"BYO,Valet parking,BYO","116 Pierrepont Street,Brooklyn, NY 11201",[7184042348],https://www.wedding-spot.com/venue/5071/first-unitarian-congressional-society-brooklyn/,First Unitarian Congressional Society Brooklyn
[200],"Indoor and outdoor spaces,Rentals included,Valet parking","83 North River Piers,2th Ave & 42nd",[2126308121],https://www.wedding-spot.com/venue/5222/new-york-water-taxi/,New York Water Taxi
[50],"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Upgraded rentals included","299 Madison Avenue, ,New York, NY 10017",[2122045408],https://www.wedding-spot.com/venue/8584/the-library-hotel/,The Library Hotel
[800],"Indoor and outdoor spaces,Rentals included,Valet parking","1751 Ocean Boulevard,Atlantic Beach, NY 11509",[9142040550],https://www.wedding-spot.com/venue/13942/new-york-beach-club/,New York Beach Club
[60],"Valet parking,Valet parking","873 Broadway,New York, NY 10003",[2129828113],https://www.wedding-spot.com/venue/13749/sixth-floor-loft/,Sixth Floor Loft
[100],"Valet parking,Valet parking","Private Estate,Address withheld for privacy",[9177659616],https://www.wedding-spot.com/venue/13602/rooftop/,Rooftop
[140],"Rentals included,Valet parking,Rentals included","17 Barrow Street,New York, NY 10014",[2122558649],https://www.wedding-spot.com/venue/12938/one-if-by-land-two-if-by-sea/,"One if by Land, Two if by Sea"
[40],"Rentals included,Valet parking,Rentals included","360 Park Avenue South,New York, NY 10010",[2128382061],https://www.wedding-spot.com/venue/1613/riff-raffs/,Riff Raffs
[125],"Award winner,Indoor and outdoor spaces,Valet parking","9 Old Lancaster Road ,Malvern, PA 19355",[6102963637],https://www.wedding-spot.com/venue/3067/general-warren/,General Warren
[225],,"1210 East Hector Street,Conshohocken, PA 19428",[6102832371],https://www.wedding-spot.com/venue/9800/spring-mill-ballroom/,Spring Mill Ballroom
[1000],"Award winner,Rentals included,Valet parking","201 North 17th Street,Philadelphia, PA 19103",[2154482964],https://www.wedding-spot.com/venue/3645/sheraton-philadelphia-downtown/,Sheraton Philadelphia Downtown
[500],"BYO,Valet parking,BYO","750 Nostrand Avenue,Brooklyn, NY 11216",[7187710900],https://www.wedding-spot.com/venue/9452/the-black-lady-theatre/,The Black Lady Theatre
[140],"Indoor and outdoor spaces,BYO,Valet parking","427 North New Street,Bethlehem, PA 18018",[6108820450],https://www.wedding-spot.com/venue/6202/kemerer-museum/,Kemerer Museum
[250],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","555 South Columbus Blvd.,Philadelphia, PA 19147",[2156258383],https://www.wedding-spot.com/venue/3909/chart-house-philadelphia/,Chart House Philadelphia
[200],"Indoor and outdoor spaces,BYO,Indoor and outdoor spaces","1160 Old Bernville Road,Reading, PA 19605",[4846713913],https://www.wedding-spot.com/venue/11619/bern-farm/,Bern Farm
[530],"Indoor and outdoor spaces,Upgraded rentals included,Rentals included","401 South Columbus Boulevard,Philadelphia, PA 19106",[2672383618],https://www.wedding-spot.com/venue/1456/city-cruises-philadelphia/,City Cruises Philadelphia
[165],"Indoor and outdoor spaces,Rentals included,Valet parking","801 Tennis Avenue,Ambler, PA 19002",[2156430180],https://www.wedding-spot.com/venue/3946/old-york-road-country-club/,Old York Road Country Club
[125],"Rentals included,Valet parking,Rentals included","57 West 58th Street,New York, NY 10019",[2128382061],https://www.wedding-spot.com/venue/1612/quality-meats-nyc/,Quality Meats NYC
[600],"Valet parking,Valet parking","3728 Chestnut Street,Philadelphia, PA 19104",[2677875000],https://www.wedding-spot.com/venue/11798/st-agatha-st-james-parish/,St. Agatha - St. James Parish
[34],"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included","Pier 59 Chelsea Piers,New York, NY 10011",[2125346380],https://www.wedding-spot.com/venue/1614/yachts-for-all-seasons-calypso/,Yachts For All Seasons: Calypso
[100],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","763 River Road,Erwinna, PA 18920",[6102949595],https://www.wedding-spot.com/venue/2976/golden-pheasant-inn/,Golden Pheasant Inn
[250],"Rentals included,Valet parking,Rentals included","4509 Island Avenue,Philadelphia, PA 19153",[2153654150],https://www.wedding-spot.com/venue/820/doubletree-by-hilton-hotel-philadelphia-airport/,DoubleTree by Hilton Hotel Philadelphia Airport
[200],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","350 West 40th Street,New York, NY 10018",[9176050363],https://www.wedding-spot.com/venue/11823/magnolia/,Magnolia
[380],"Upgraded rentals included,Upgraded rentals included","106 East 86th Street,New York, NY 10028",[2124275421],https://www.wedding-spot.com/venue/11808/park-avenue-united-methodist-church/,Park Avenue United Methodist Church
[300],"Valet parking,Valet parking","3916 Locust Walk,Philadelphia, PA 19104",[2153863916],https://www.wedding-spot.com/venue/11471/st-marys-hamilton-village/,"St. Mary's, Hamilton Village"
[75],"Rentals included,Valet parking,Rentals included","540 Park Avenue,New York, NY 10065",[2123394024],https://www.wedding-spot.com/venue/9094/loews-regency-new-york-hotel/,Loews Regency New York Hotel
[400],"BYO,Valet parking,BYO","5736 Chester Avenue,Philadelphia, PA 19143",[2672758238],https://www.wedding-spot.com/venue/12975/the-common-place/,The Common Place
[500],"Rentals included,Valet parking,Rentals included","347 West 34th Street,New York, NY 10001",[2126712511],https://www.wedding-spot.com/venue/5219/zanger-hall/,Zanger Hall
[80],"BYO,Valet parking,BYO","420 Troutman Street,Brooklyn, NY 11237",[3474046147],https://www.wedding-spot.com/venue/14712/ap-creative/,AP Creative
